Rank,Model,Live Overall Acc,AST Summary,Python Simple AST,Python Multiple AST,Python Parallel AST,Python Parallel Multiple AST,Irrelevance Detection,Relevance Detection
1,Llama-3.1-8B-Instruct (Prompt),61.22%,72.61%,74.03%,73.03%,50.00%,54.17%,43.42%,77.78%
2,Llama-3.1-8B-Instruct (FC),33.36%,48.78%,51.55%,48.53%,31.25%,41.67%,8.50%,94.44%
