Rank,Model,Non_Live Overall Acc,AST Summary,Simple AST,Python Simple AST,Java Simple AST,JavaScript Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Irrelevance Detection
1,Llama-3.1-8B-Instruct (Prompt),78.23%,84.35%,72.92%,93.75%,59.00%,66.00%,93.00%,87.50%,84.00%,53.75%
2,Llama-3.1-8B-Instruct (FC),38.88%,48.19%,55.75%,50.25%,57.00%,60.00%,53.00%,49.50%,34.50%,1.67%
